2025-04-08 18:46:58,568 - __main__ - INFO - Starting batch processing from F:\newrepos\olitunes\guitarset_training_data to F:\newrepos\olitunes\processed_guitarset_data
2025-04-08 18:50:47,244 - __main__ - INFO - Starting batch processing from F:/newrepos/olitunes/backend/data/guitarset_training_data to F:/newrepos/olitunes/processed_guitarset_data
2025-04-08 18:50:47,244 - __main__ - INFO - Processing complete!
2025-04-08 18:50:47,246 - __main__ - INFO - Processed 0/0 batches
2025-04-08 18:50:47,246 - __main__ - INFO - Total examples: 0
2025-04-08 18:50:47,246 - __main__ - INFO - Original size: 0.00 GB
2025-04-08 18:50:47,246 - __main__ - INFO - Compressed size: 0.00 GB
2025-04-08 18:50:47,247 - __main__ - INFO - Compression ratio: 0.00x
2025-04-08 18:50:47,257 - __main__ - INFO - Space saved: 0.00 GB
2025-04-08 18:51:36,563 - __main__ - INFO - Starting batch processing from F:/newrepos/olitunes/backend/data/guitarset_training_data to F:/newrepos/olitunes/processed_guitarset_data
2025-04-08 18:51:36,686 - __main__ - INFO - Processing batch chunk 1/115 (10 batches)
2025-04-08 18:51:45,938 - __mp_main__ - WARNING - Failed to load data from batch_0, skipping
2025-04-08 18:51:45,942 - __mp_main__ - WARNING - Failed to load data from batch_1, skipping
2025-04-08 18:51:45,944 - __mp_main__ - WARNING - Failed to load data from batch_2, skipping
2025-04-08 18:51:45,947 - __mp_main__ - WARNING - Failed to load data from batch_3, skipping
2025-04-08 18:51:45,949 - __mp_main__ - WARNING - Failed to load data from batch_4, skipping
2025-04-08 18:51:45,953 - __mp_main__ - WARNING - Failed to load data from batch_5, skipping
2025-04-08 18:51:45,956 - __mp_main__ - WARNING - Failed to load data from batch_6, skipping
2025-04-08 18:51:45,959 - __mp_main__ - WARNING - Failed to load data from batch_7, skipping
2025-04-08 18:51:45,963 - __mp_main__ - WARNING - Failed to load data from batch_8, skipping
2025-04-08 18:51:45,967 - __mp_main__ - WARNING - Failed to load data from batch_9, skipping
2025-04-08 18:51:47,457 - __main__ - INFO - Processing batch chunk 2/115 (10 batches)
2025-04-08 18:51:56,566 - __mp_main__ - WARNING - Failed to load data from batch_10, skipping
2025-04-08 18:51:56,569 - __mp_main__ - WARNING - Failed to load data from batch_11, skipping
2025-04-08 18:51:56,572 - __mp_main__ - WARNING - Failed to load data from batch_12, skipping
2025-04-08 18:51:56,575 - __mp_main__ - WARNING - Failed to load data from batch_13, skipping
2025-04-08 18:51:56,578 - __mp_main__ - WARNING - Failed to load data from batch_14, skipping
2025-04-08 18:51:56,582 - __mp_main__ - WARNING - Failed to load data from batch_15, skipping
2025-04-08 18:51:56,585 - __mp_main__ - WARNING - Failed to load data from batch_16, skipping
2025-04-08 18:51:56,588 - __mp_main__ - WARNING - Failed to load data from batch_17, skipping
2025-04-08 18:51:56,591 - __mp_main__ - WARNING - Failed to load data from batch_18, skipping
2025-04-08 18:51:56,594 - __mp_main__ - WARNING - Failed to load data from batch_19, skipping
2025-04-08 18:51:58,203 - __main__ - INFO - Processing batch chunk 3/115 (10 batches)
2025-04-08 18:52:07,092 - __mp_main__ - WARNING - Failed to load data from batch_20, skipping
2025-04-08 18:52:07,095 - __mp_main__ - WARNING - Failed to load data from batch_21, skipping
2025-04-08 18:52:07,097 - __mp_main__ - WARNING - Failed to load data from batch_22, skipping
2025-04-08 18:52:07,101 - __mp_main__ - WARNING - Failed to load data from batch_23, skipping
2025-04-08 18:52:07,103 - __mp_main__ - WARNING - Failed to load data from batch_24, skipping
2025-04-08 18:52:07,106 - __mp_main__ - WARNING - Failed to load data from batch_25, skipping
2025-04-08 18:52:07,109 - __mp_main__ - WARNING - Failed to load data from batch_26, skipping
2025-04-08 18:52:07,113 - __mp_main__ - WARNING - Failed to load data from batch_27, skipping
2025-04-08 18:52:07,115 - __mp_main__ - WARNING - Failed to load data from batch_28, skipping
2025-04-08 18:52:07,119 - __mp_main__ - WARNING - Failed to load data from batch_29, skipping
2025-04-08 18:52:08,669 - __main__ - INFO - Processing batch chunk 4/115 (10 batches)
2025-04-08 18:52:17,615 - __mp_main__ - WARNING - Failed to load data from batch_30, skipping
2025-04-08 18:52:17,618 - __mp_main__ - WARNING - Failed to load data from batch_31, skipping
2025-04-08 18:52:17,619 - __mp_main__ - WARNING - Failed to load data from batch_32, skipping
2025-04-08 18:52:17,623 - __mp_main__ - WARNING - Failed to load data from batch_33, skipping
2025-04-08 18:52:17,625 - __mp_main__ - WARNING - Failed to load data from batch_34, skipping
2025-04-08 18:52:17,628 - __mp_main__ - WARNING - Failed to load data from batch_35, skipping
2025-04-08 18:52:17,632 - __mp_main__ - WARNING - Failed to load data from batch_36, skipping
2025-04-08 18:52:17,634 - __mp_main__ - WARNING - Failed to load data from batch_37, skipping
2025-04-08 18:52:17,636 - __mp_main__ - WARNING - Failed to load data from batch_38, skipping
2025-04-08 18:52:17,639 - __mp_main__ - WARNING - Failed to load data from batch_39, skipping
2025-04-08 18:52:19,197 - __main__ - INFO - Processing batch chunk 5/115 (10 batches)
2025-04-08 18:52:27,995 - __mp_main__ - WARNING - Failed to load data from batch_40, skipping
2025-04-08 18:52:28,000 - __mp_main__ - WARNING - Failed to load data from batch_41, skipping
2025-04-08 18:52:28,002 - __mp_main__ - WARNING - Failed to load data from batch_42, skipping
2025-04-08 18:52:28,005 - __mp_main__ - WARNING - Failed to load data from batch_43, skipping
2025-04-08 18:52:28,008 - __mp_main__ - WARNING - Failed to load data from batch_44, skipping
2025-04-08 18:52:28,011 - __mp_main__ - WARNING - Failed to load data from batch_45, skipping
2025-04-08 18:52:28,015 - __mp_main__ - WARNING - Failed to load data from batch_46, skipping
2025-04-08 18:52:28,017 - __mp_main__ - WARNING - Failed to load data from batch_47, skipping
2025-04-08 18:52:28,020 - __mp_main__ - WARNING - Failed to load data from batch_48, skipping
2025-04-08 18:52:28,024 - __mp_main__ - WARNING - Failed to load data from batch_49, skipping
2025-04-08 18:52:29,600 - __main__ - INFO - Processing batch chunk 6/115 (10 batches)
2025-04-08 18:52:38,349 - __mp_main__ - WARNING - Failed to load data from batch_50, skipping
2025-04-08 18:52:38,353 - __mp_main__ - WARNING - Failed to load data from batch_51, skipping
2025-04-08 18:52:38,355 - __mp_main__ - WARNING - Failed to load data from batch_52, skipping
2025-04-08 18:52:38,358 - __mp_main__ - WARNING - Failed to load data from batch_53, skipping
2025-04-08 18:52:38,360 - __mp_main__ - WARNING - Failed to load data from batch_54, skipping
2025-04-08 18:52:38,362 - __mp_main__ - WARNING - Failed to load data from batch_55, skipping
2025-04-08 18:52:38,366 - __mp_main__ - WARNING - Failed to load data from batch_56, skipping
2025-04-08 18:52:38,368 - __mp_main__ - WARNING - Failed to load data from batch_57, skipping
2025-04-08 18:52:38,371 - __mp_main__ - WARNING - Failed to load data from batch_58, skipping
2025-04-08 18:52:38,375 - __mp_main__ - WARNING - Failed to load data from batch_59, skipping
2025-04-08 18:52:40,174 - __main__ - INFO - Processing batch chunk 7/115 (10 batches)
2025-04-08 18:52:49,051 - __mp_main__ - WARNING - Failed to load data from batch_60, skipping
2025-04-08 18:52:49,054 - __mp_main__ - WARNING - Failed to load data from batch_61, skipping
2025-04-08 18:52:49,057 - __mp_main__ - WARNING - Failed to load data from batch_62, skipping
2025-04-08 18:52:49,061 - __mp_main__ - WARNING - Failed to load data from batch_63, skipping
2025-04-08 18:52:49,064 - __mp_main__ - WARNING - Failed to load data from batch_64, skipping
2025-04-08 18:52:49,067 - __mp_main__ - WARNING - Failed to load data from batch_65, skipping
2025-04-08 18:52:49,070 - __mp_main__ - WARNING - Failed to load data from batch_66, skipping
2025-04-08 18:52:49,073 - __mp_main__ - WARNING - Failed to load data from batch_67, skipping
2025-04-08 18:52:49,075 - __mp_main__ - WARNING - Failed to load data from batch_68, skipping
2025-04-08 18:52:49,080 - __mp_main__ - WARNING - Failed to load data from batch_69, skipping
2025-04-08 18:52:50,728 - __main__ - INFO - Processing batch chunk 8/115 (10 batches)
2025-04-08 18:52:59,765 - __mp_main__ - WARNING - Failed to load data from batch_70, skipping
2025-04-08 18:52:59,768 - __mp_main__ - WARNING - Failed to load data from batch_71, skipping
2025-04-08 18:52:59,772 - __mp_main__ - WARNING - Failed to load data from batch_72, skipping
2025-04-08 18:52:59,774 - __mp_main__ - WARNING - Failed to load data from batch_73, skipping
2025-04-08 18:52:59,778 - __mp_main__ - WARNING - Failed to load data from batch_74, skipping
2025-04-08 18:52:59,780 - __mp_main__ - WARNING - Failed to load data from batch_75, skipping
2025-04-08 18:52:59,789 - __mp_main__ - WARNING - Failed to load data from batch_76, skipping
2025-04-08 18:52:59,791 - __mp_main__ - WARNING - Failed to load data from batch_77, skipping
2025-04-08 18:52:59,793 - __mp_main__ - WARNING - Failed to load data from batch_78, skipping
2025-04-08 18:52:59,797 - __mp_main__ - WARNING - Failed to load data from batch_79, skipping
2025-04-08 18:53:01,396 - __main__ - INFO - Processing batch chunk 9/115 (10 batches)
2025-04-08 18:53:10,374 - __mp_main__ - WARNING - Failed to load data from batch_80, skipping
2025-04-08 18:53:10,376 - __mp_main__ - WARNING - Failed to load data from batch_81, skipping
2025-04-08 18:53:10,378 - __mp_main__ - WARNING - Failed to load data from batch_82, skipping
2025-04-08 18:53:10,382 - __mp_main__ - WARNING - Failed to load data from batch_83, skipping
2025-04-08 18:53:10,385 - __mp_main__ - WARNING - Failed to load data from batch_84, skipping
2025-04-08 18:53:10,387 - __mp_main__ - WARNING - Failed to load data from batch_85, skipping
2025-04-08 18:53:10,390 - __mp_main__ - WARNING - Failed to load data from batch_86, skipping
2025-04-08 18:53:10,393 - __mp_main__ - WARNING - Failed to load data from batch_87, skipping
2025-04-08 18:53:10,396 - __mp_main__ - WARNING - Failed to load data from batch_88, skipping
2025-04-08 18:53:10,399 - __mp_main__ - WARNING - Failed to load data from batch_89, skipping
2025-04-08 18:53:11,976 - __main__ - INFO - Processing batch chunk 10/115 (10 batches)
2025-04-08 18:53:21,259 - __mp_main__ - WARNING - Failed to load data from batch_90, skipping
2025-04-08 18:53:21,263 - __mp_main__ - WARNING - Failed to load data from batch_91, skipping
2025-04-08 18:53:21,265 - __mp_main__ - WARNING - Failed to load data from batch_92, skipping
2025-04-08 18:53:21,269 - __mp_main__ - WARNING - Failed to load data from batch_93, skipping
2025-04-08 18:53:21,272 - __mp_main__ - WARNING - Failed to load data from batch_94, skipping
2025-04-08 18:53:21,276 - __mp_main__ - WARNING - Failed to load data from batch_95, skipping
2025-04-08 18:53:21,280 - __mp_main__ - WARNING - Failed to load data from batch_97, skipping
2025-04-08 18:53:21,281 - __mp_main__ - WARNING - Failed to load data from batch_96, skipping
2025-04-08 18:53:21,283 - __mp_main__ - WARNING - Failed to load data from batch_98, skipping
2025-04-08 18:53:21,285 - __mp_main__ - WARNING - Failed to load data from batch_99, skipping
2025-04-08 18:53:22,792 - __main__ - INFO - Processing batch chunk 11/115 (10 batches)
2025-04-08 18:53:31,848 - __mp_main__ - WARNING - Failed to load data from batch_100, skipping
2025-04-08 18:53:31,851 - __mp_main__ - WARNING - Failed to load data from batch_101, skipping
2025-04-08 18:53:31,854 - __mp_main__ - WARNING - Failed to load data from batch_102, skipping
2025-04-08 18:53:31,857 - __mp_main__ - WARNING - Failed to load data from batch_103, skipping
2025-04-08 18:53:31,861 - __mp_main__ - WARNING - Failed to load data from batch_104, skipping
2025-04-08 18:53:31,863 - __mp_main__ - WARNING - Failed to load data from batch_105, skipping
2025-04-08 18:53:31,866 - __mp_main__ - WARNING - Failed to load data from batch_106, skipping
2025-04-08 18:53:31,868 - __mp_main__ - WARNING - Failed to load data from batch_107, skipping
2025-04-08 18:53:31,872 - __mp_main__ - WARNING - Failed to load data from batch_108, skipping
2025-04-08 18:53:31,874 - __mp_main__ - WARNING - Failed to load data from batch_109, skipping
2025-04-08 18:53:33,574 - __main__ - INFO - Processing batch chunk 12/115 (10 batches)
2025-04-08 18:53:42,261 - __mp_main__ - WARNING - Failed to load data from batch_110, skipping
2025-04-08 18:53:42,263 - __mp_main__ - WARNING - Failed to load data from batch_111, skipping
2025-04-08 18:53:42,267 - __mp_main__ - WARNING - Failed to load data from batch_112, skipping
2025-04-08 18:53:42,270 - __mp_main__ - WARNING - Failed to load data from batch_113, skipping
2025-04-08 18:53:42,273 - __mp_main__ - WARNING - Failed to load data from batch_114, skipping
2025-04-08 18:53:42,277 - __mp_main__ - WARNING - Failed to load data from batch_115, skipping
2025-04-08 18:53:42,279 - __mp_main__ - WARNING - Failed to load data from batch_116, skipping
2025-04-08 18:53:42,282 - __mp_main__ - WARNING - Failed to load data from batch_117, skipping
2025-04-08 18:53:42,284 - __mp_main__ - WARNING - Failed to load data from batch_118, skipping
2025-04-08 18:53:42,289 - __mp_main__ - WARNING - Failed to load data from batch_119, skipping
2025-04-08 18:53:44,248 - __main__ - INFO - Processing batch chunk 13/115 (10 batches)
2025-04-08 18:53:54,106 - __mp_main__ - WARNING - Failed to load data from batch_120, skipping
2025-04-08 18:53:54,109 - __mp_main__ - WARNING - Failed to load data from batch_121, skipping
2025-04-08 18:53:54,113 - __mp_main__ - WARNING - Failed to load data from batch_122, skipping
