midi_note,string,fret,position_in_tab,genre,artist,song,rating,synthetic
79,5,15,0,blues,Synthetic_blues,Generated_Riff_0,5.0,True
75,5,11,1,blues,Synthetic_blues,Generated_Riff_0,5.0,True
76,5,12,3,blues,Synthetic_blues,Generated_Riff_0,5.0,True
72,4,13,4,blues,Synthetic_blues,Generated_Riff_0,5.0,True
69,5,5,5,blues,Synthetic_blues,Generated_Riff_0,5.0,True
81,5,17,6,blues,Synthetic_blues,Generated_Riff_0,5.0,True
81,5,17,9,blues,Synthetic_blues,Generated_Riff_0,5.0,True
88,5,24,10,blues,Synthetic_blues,Generated_Riff_0,5.0,True
84,5,20,11,blues,Synthetic_blues,Generated_Riff_0,5.0,True
74,5,10,12,blues,Synthetic_blues,Generated_Riff_0,5.0,True
69,4,10,14,blues,Synthetic_blues,Generated_Riff_0,5.0,True
75,5,11,15,blues,Synthetic_blues,Generated_Riff_0,5.0,True
79,5,15,16,blues,Synthetic_blues,Generated_Riff_0,5.0,True
67,5,3,0,blues,Synthetic_blues,Generated_Riff_1,5.0,True
69,5,5,1,blues,Synthetic_blues,Generated_Riff_1,5.0,True
83,5,19,2,blues,Synthetic_blues,Generated_Riff_1,5.0,True
88,5,24,3,blues,Synthetic_blues,Generated_Riff_1,5.0,True
81,5,17,4,blues,Synthetic_blues,Generated_Riff_1,5.0,True
74,5,10,5,blues,Synthetic_blues,Generated_Riff_1,5.0,True
70,5,6,6,blues,Synthetic_blues,Generated_Riff_1,5.0,True
81,5,17,7,blues,Synthetic_blues,Generated_Riff_1,5.0,True
82,4,23,8,blues,Synthetic_blues,Generated_Riff_1,5.0,True
86,5,22,10,blues,Synthetic_blues,Generated_Riff_1,5.0,True
82,5,18,11,blues,Synthetic_blues,Generated_Riff_1,5.0,True
74,5,10,12,blues,Synthetic_blues,Generated_Riff_1,5.0,True
70,5,6,13,blues,Synthetic_blues,Generated_Riff_1,5.0,True
76,5,12,14,blues,Synthetic_blues,Generated_Riff_1,5.0,True
67,3,12,15,blues,Synthetic_blues,Generated_Riff_1,5.0,True
79,3,24,0,blues,Synthetic_blues,Generated_Riff_2,5.0,True
88,5,24,1,blues,Synthetic_blues,Generated_Riff_2,5.0,True
67,5,3,2,blues,Synthetic_blues,Generated_Riff_2,5.0,True
79,4,20,3,blues,Synthetic_blues,Generated_Riff_2,5.0,True
71,5,7,4,blues,Synthetic_blues,Generated_Riff_2,5.0,True
71,5,7,6,blues,Synthetic_blues,Generated_Riff_2,5.0,True
79,5,15,8,blues,Synthetic_blues,Generated_Riff_2,5.0,True
71,5,7,10,blues,Synthetic_blues,Generated_Riff_2,5.0,True
71,5,7,11,blues,Synthetic_blues,Generated_Riff_2,5.0,True
69,3,14,12,blues,Synthetic_blues,Generated_Riff_2,5.0,True
83,5,19,13,blues,Synthetic_blues,Generated_Riff_2,5.0,True
83,4,24,14,blues,Synthetic_blues,Generated_Riff_2,5.0,True
69,5,5,15,blues,Synthetic_blues,Generated_Riff_2,5.0,True
79,5,15,16,blues,Synthetic_blues,Generated_Riff_2,5.0,True
60,2,10,0,blues,Synthetic_blues,Generated_Riff_3,5.0,True
69,4,10,1,blues,Synthetic_blues,Generated_Riff_3,5.0,True
88,5,24,2,blues,Synthetic_blues,Generated_Riff_3,5.0,True
72,4,13,3,blues,Synthetic_blues,Generated_Riff_3,5.0,True
67,5,3,4,blues,Synthetic_blues,Generated_Riff_3,5.0,True
74,5,10,5,blues,Synthetic_blues,Generated_Riff_3,5.0,True
67,4,8,6,blues,Synthetic_blues,Generated_Riff_3,5.0,True
76,5,12,7,blues,Synthetic_blues,Generated_Riff_3,5.0,True
72,5,8,8,blues,Synthetic_blues,Generated_Riff_3,5.0,True
84,5,20,9,blues,Synthetic_blues,Generated_Riff_3,5.0,True
88,5,24,11,blues,Synthetic_blues,Generated_Riff_3,5.0,True
84,5,20,13,blues,Synthetic_blues,Generated_Riff_3,5.0,True
86,5,22,14,blues,Synthetic_blues,Generated_Riff_3,5.0,True
79,4,20,15,blues,Synthetic_blues,Generated_Riff_3,5.0,True
74,5,10,16,blues,Synthetic_blues,Generated_Riff_3,5.0,True
64,3,9,17,blues,Synthetic_blues,Generated_Riff_3,5.0,True
74,5,10,18,blues,Synthetic_blues,Generated_Riff_3,5.0,True
84,5,20,19,blues,Synthetic_blues,Generated_Riff_3,5.0,True
74,5,10,1,blues,Synthetic_blues,Generated_Riff_4,5.0,True
86,5,22,3,blues,Synthetic_blues,Generated_Riff_4,5.0,True
64,4,5,5,blues,Synthetic_blues,Generated_Riff_4,5.0,True
83,4,24,7,blues,Synthetic_blues,Generated_Riff_4,5.0,True
88,5,24,8,blues,Synthetic_blues,Generated_Riff_4,5.0,True
71,5,7,9,blues,Synthetic_blues,Generated_Riff_4,5.0,True
86,5,22,10,blues,Synthetic_blues,Generated_Riff_4,5.0,True
86,5,22,12,blues,Synthetic_blues,Generated_Riff_4,5.0,True
70,5,6,0,blues,Synthetic_blues,Generated_Riff_5,5.0,True
63,3,8,1,blues,Synthetic_blues,Generated_Riff_5,5.0,True
72,5,8,2,blues,Synthetic_blues,Generated_Riff_5,5.0,True
67,4,8,3,blues,Synthetic_blues,Generated_Riff_5,5.0,True
67,4,8,5,blues,Synthetic_blues,Generated_Riff_5,5.0,True
65,4,6,6,blues,Synthetic_blues,Generated_Riff_5,5.0,True
65,5,1,7,blues,Synthetic_blues,Generated_Riff_5,5.0,True
84,5,20,8,blues,Synthetic_blues,Generated_Riff_5,5.0,True
72,4,13,9,blues,Synthetic_blues,Generated_Riff_5,5.0,True
72,4,13,10,blues,Synthetic_blues,Generated_Riff_5,5.0,True
63,2,13,11,blues,Synthetic_blues,Generated_Riff_5,5.0,True
79,3,24,12,blues,Synthetic_blues,Generated_Riff_5,5.0,True
87,5,23,13,blues,Synthetic_blues,Generated_Riff_5,5.0,True
82,4,23,14,blues,Synthetic_blues,Generated_Riff_5,5.0,True
75,5,11,16,blues,Synthetic_blues,Generated_Riff_5,5.0,True
65,4,6,17,blues,Synthetic_blues,Generated_Riff_5,5.0,True
79,5,15,1,blues,Synthetic_blues,Generated_Riff_6,5.0,True
72,4,13,4,blues,Synthetic_blues,Generated_Riff_6,5.0,True
73,4,14,5,blues,Synthetic_blues,Generated_Riff_6,5.0,True
67,5,3,6,blues,Synthetic_blues,Generated_Riff_6,5.0,True
67,5,3,7,blues,Synthetic_blues,Generated_Riff_6,5.0,True
67,5,3,8,blues,Synthetic_blues,Generated_Riff_6,5.0,True
84,5,20,10,blues,Synthetic_blues,Generated_Riff_6,5.0,True
72,5,8,11,blues,Synthetic_blues,Generated_Riff_6,5.0,True
74,5,10,12,blues,Synthetic_blues,Generated_Riff_6,5.0,True
86,5,22,13,blues,Synthetic_blues,Generated_Riff_6,5.0,True
84,5,20,14,blues,Synthetic_blues,Generated_Riff_6,5.0,True
72,5,8,15,blues,Synthetic_blues,Generated_Riff_6,5.0,True
70,5,6,16,blues,Synthetic_blues,Generated_Riff_6,5.0,True
74,5,10,0,blues,Synthetic_blues,Generated_Riff_7,5.0,True
88,5,24,1,blues,Synthetic_blues,Generated_Riff_7,5.0,True
67,4,8,2,blues,Synthetic_blues,Generated_Riff_7,5.0,True
76,5,12,3,blues,Synthetic_blues,Generated_Riff_7,5.0,True
74,5,10,4,blues,Synthetic_blues,Generated_Riff_7,5.0,True
86,5,22,5,blues,Synthetic_blues,Generated_Riff_7,5.0,True
72,5,8,7,blues,Synthetic_blues,Generated_Riff_7,5.0,True
76,5,12,8,blues,Synthetic_blues,Generated_Riff_7,5.0,True
72,4,13,9,blues,Synthetic_blues,Generated_Riff_7,5.0,True
84,5,20,10,blues,Synthetic_blues,Generated_Riff_7,5.0,True
76,5,12,11,blues,Synthetic_blues,Generated_Riff_7,5.0,True
88,5,24,12,blues,Synthetic_blues,Generated_Riff_7,5.0,True
60,4,1,13,blues,Synthetic_blues,Generated_Riff_7,5.0,True
64,5,0,15,blues,Synthetic_blues,Generated_Riff_7,5.0,True
86,5,22,16,blues,Synthetic_blues,Generated_Riff_7,5.0,True
72,5,8,17,blues,Synthetic_blues,Generated_Riff_7,5.0,True
